city,lat,lng,population,region,city_type,total_services,ai_real_count,ai_ratio,completion_rate,avg_4ware
거제시,34.8806,128.6211,240000,경상,중소도시,28,6,21.4,71.4,2.2
경산시,35.825,128.7414,270000,경상,중소도시,18,5,27.8,66.7,1.8
경주시,35.8562,129.2247,250000,경상,중소도시,21,3,14.3,90.5,2.2
계룡시,36.2747,127.2487,44000,충청,소도시,14,4,28.6,78.6,1.5
고령군,35.7261,128.2628,32000,경상,농어촌,1,0,0.0,100.0,2.0
공주시,36.4465,127.1189,100000,충청,소도시,19,5,26.3,57.9,2.0
과천시,37.4292,126.9876,72000,경기,소도시,24,1,4.2,62.5,1.5
광양시,34.9407,127.6956,150000,전라,중소도시,14,6,42.9,57.1,1.8
구리시,37.5943,127.1295,200000,경기,소도시,8,2,25.0,100.0,1.0
구미시,36.1195,128.3446,410000,경상,중소도시,25,4,16.0,100.0,2.8
군포시,37.3614,126.9352,270000,경기,소도시,17,4,23.5,47.1,1.8
남원시,35.4164,127.3903,78000,전라,소도시,27,10,37.0,63.0,2.5
대구광역시,35.8714,128.6014,2380000,경상,광역,111,3,2.7,0.0,2.0
부천시,37.5034,126.766,820000,경기,대도시,47,10,21.3,0.0,2.0
사천시,35.0037,128.0647,110000,경상,소도시,27,5,18.5,33.3,2.2
산청군,35.4153,127.8734,33000,경상,농어촌,2,0,0.0,100.0,1.5
상주시,36.411,128.159,95000,경상,소도시,22,6,27.3,36.4,1.5
수원시,37.2636,127.0286,1200000,경기,대도시,86,8,9.3,0.0,2.0
안양시,37.3943,126.9568,560000,경기,대도시,48,1,2.1,0.0,1.8
양평군,37.4917,127.4876,120000,경기,농어촌,22,4,18.2,63.6,2.5
여수시,34.7604,127.6622,280000,전라,중소도시,18,10,55.6,44.4,2.5
옥천군,36.306,127.5713,50000,충청,농어촌,28,1,3.6,39.3,1.8
울산광역시,35.5384,129.3114,1120000,경상,광역,36,14,38.9,91.7,2.5
원주시,37.3422,127.9202,360000,강원,중소도시,15,3,20.0,100.0,1.8
의왕시,37.3449,126.9685,160000,경기,소도시,9,4,44.4,100.0,2.8
정선군,37.3808,128.6609,35000,강원,농어촌,12,2,16.7,75.0,1.0
제천시,37.1326,128.191,130000,충청,소도시,20,2,10.0,55.0,1.8
진주시,35.1802,128.1076,350000,경상,중소도시,23,5,21.7,82.6,2.2
청주시,36.6424,127.489,850000,충청,대도시,30,10,33.3,60.0,2.5
충주시,36.991,127.9259,210000,충청,중소도시,19,7,36.8,47.4,2.5
통영시,34.8544,128.433,130000,경상,소도시,17,5,29.4,94.1,1.8
평택시,36.9908,127.0858,580000,경기,대도시,26,4,15.4,69.2,2.2
함안군,35.2724,128.4066,64000,경상,농어촌,22,2,9.1,86.4,2.0
해남군,34.5714,126.5993,65000,전라,농어촌,32,5,15.6,59.4,2.5
홍천군,37.6972,127.8886,68000,강원,농어촌,3,0,0.0,100.0,1.8
화성시,37.1995,126.8313,940000,경기,대도시,39,3,7.7,0.0,2.0
횡성군,37.4919,127.9847,45000,강원,농어촌,25,5,20.0,0.0,2.2
